time stock-price decision number-of-stocks portfolio-value
937 193.27 -3 100 30100.25
938 193.27 -3 50 30100.25
939 193.1 -5 0 30091.75
940 193.24 -3 0 30091.75
941 193 -3 0 30091.75
942 193 -5 0 30091.75
943 192.92 -5 0 30091.75
944 192.92 -5 0 30091.75
945 192.86 -5 0 30091.75
946 192.85 -5 0 30091.75
947 193 -1 0 30091.75
948 192.865 3 50 30091.75
949 192.75 1 100 30086.0
950 192.81 -3 50 30092.0
951 192.76 -3 0 30089.5
952 192.61 -3 0 30089.5
953 192.61 -3 0 30089.5
954 192.75 -3 0 30089.5
955 192.48 1 50 30089.5
956 192.66 -3 0 30098.5
957 192.62 -3 0 30098.5
958 192.78 1 50 30098.5
959 192.61 3 100 30090.0
