time-hour stock-price avg-price-3-min avg-price-5-min average-volume current-volume number-of-stocks portfolio-value 
701 195.45 195.4725 195.41800000000003 2585.3333333333335 1102 50 30013.75
702 195.67 195.575 195.502 2740.0 1804 50 30024.75
703 195.56 195.56 195.53400000000002 1204.3333333333333 707 50 30019.25
704 195.64 195.6275 195.56600000000003 1106.3333333333333 808 50 30023.25
705 195.63 195.615 195.59 689.0 552 50 30022.75
706 195.58 195.60750000000002 195.616 1273.6666666666667 2461 75 30020.25
707 195.65 195.6275 195.61200000000002 1190.0 557 0 30025.5
708 195.71 195.66250000000002 195.642 1435.3333333333333 1288 0 30025.5
709 195.74 195.71 195.662 664.3333333333334 148 0 30025.5
710 195.66 195.6925 195.668 693.0 643 0 30025.5
711 195.61 195.655 195.67400000000004 498.6666666666667 705 0 30025.5
712 195.58 195.60750000000002 195.66000000000003 749.3333333333334 900 0 30025.5
713 195.53 195.5625 195.62400000000002 968.6666666666666 1301 0 30025.5
714 195.44 195.4975 195.56400000000002 801.0 202 0 30025.5
715 195.55 195.5175 195.54200000000003 771.0 810 0 30025.5
716 195.49 195.4925 195.51800000000003 481.3333333333333 432 0 30025.5
717 195.55 195.53500000000003 195.51200000000003 615.3333333333334 604 0 30025.5
718 195.61 195.565 195.52800000000005 713.3333333333334 1104 0 30025.5
719 195.66 195.62 195.57200000000003 795.6666666666666 679 0 30025.5
720 195.56 195.5975 195.574 1127.6666666666667 1600 25 30025.5
721 195.63 195.62 195.60200000000003 959.6666666666666 600 25 30027.25
722 195.61 195.60250000000002 195.61400000000003 803.3333333333334 210 25 30026.75
723 195.63 195.625 195.61800000000002 420.6666666666667 452 50 30027.25
724 195.72 195.67000000000002 195.63000000000002 800.0 1738 0 30031.75
725 195.77 195.72250000000003 195.67200000000003 953.0 669 0 30031.75
726 195.79 195.76749999999998 195.704 935.6666666666666 400 0 30031.75
727 195.81 195.79500000000002 195.744 456.3333333333333 300 0 30031.75
728 195.81 195.805 195.78 319.0 257 0 30031.75
729 195.64 195.725 195.764 385.6666666666667 600 0 30031.75
730 195.64 195.6825 195.738 537.0 754 0 30031.75
731 195.64 195.64 195.70800000000003 629.0 533 0 30031.75
732 195.6 195.62 195.666 764.6666666666666 1007 0 30031.75
733 195.5 195.56 195.604 757.6666666666666 733 0 30031.75
734 195.51 195.53 195.578 996.6666666666666 1250 0 30031.75
735 195.57 195.5375 195.56400000000002 1173.0 1536 0 30031.75
736 195.53 195.535 195.542 1072.6666666666667 432 0 30031.75
737 195.45 195.5 195.512 689.3333333333334 100 0 30031.75
738 195.45 195.47 195.502 245.0 203 0 30031.75
739 195.51 195.48 195.502 284.6666666666667 551 25 30031.75
740 195.45 195.46499999999997 195.478 351.3333333333333 300 0 30030.25
741 195.26 195.37 195.424 417.0 400 0 30030.25
742 195.41 195.3825 195.416 299.0 197 0 30030.25
743 195.34 195.33749999999998 195.394 299.0 300 0 30030.25
744 195.45 195.4125 195.382 172.66666666666666 21 0 30030.25
745 195.53 195.46249999999998 195.398 241.66666666666666 404 0 30030.25
746 195.5 195.495 195.446 208.33333333333334 200 0 30030.25
747 195.31 195.4125 195.42600000000002 341.6666666666667 421 0 30030.25
748 195.28 195.3425 195.41400000000002 307.0 300 0 30030.25
749 195.24 195.2675 195.372 307.0 200 0 30030.25
750 195.24 195.25 195.31400000000002 573.0 1219 0 30030.25
751 195.25 195.245 195.264 525.0 156 0 30030.25
752 195.32 195.2825 195.26600000000002 604.6666666666666 439 0 30030.25
753 195.28 195.2825 195.26600000000002 631.6666666666666 1300 0 30030.25
754 195.26 195.28 195.27 882.3333333333334 908 25 30030.25
755 195.26 195.265 195.274 836.0 300 0 30030.25
756 195.31 195.285 195.286 471.0 205 0 30030.25
757 195.31 195.2975 195.28400000000002 372.6666666666667 613 0 30030.25
758 195.33 195.32 195.294 445.6666666666667 519 25 30030.25
759 195.27 195.29500000000002 195.29600000000002 573.0 587 25 30028.75
760 195.41 195.35500000000002 195.32600000000002 585.3333333333334 650 50 30032.25
761 195.43 195.385 195.35000000000002 524.3333333333334 336 50 30033.25
762 195.42 195.42000000000002 195.372 649.0 961 75 30032.75
763 195.47 195.4475 195.4 875.6666666666666 1330 100 30036.5
764 195.53 195.4875 195.452 1108.0 1033 100 30042.5
765 195.63 195.565 195.496 924.0 409 100 30052.5
766 195.54 195.56 195.518 1417.3333333333333 2810 125 30043.5
